PremiseId,Occupier ID,Name,BusinessType,SubCategory,Category,Guardian-sector,Classification,PostCode,Town,Latitude,Longitude,CreatedDate,ClosedDate,Selected Town,Pre-lockdown,Lockdown,Post Lockdown,FrLastVerifiedDate,OrLastVerifiedDate
52885951,13338359,New Hey Lam,Independent,Chinese Fast Food Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 5PG,Sale,53.43007,-2.34231,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
52885957,13338370,The Orchard Cafe,Independent,Cafe & Tearoom,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 5PN,Sale,53.42977,-2.34224,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
52885966,13338382,The Pepper Mill,Independent,Take Away Food Shops,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 3ND,Sale,53.4176,-2.31937,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
52885970,13338390,Sparkle Dry Cleaning,Independent,Dry Cleaners,"Launderettes, Dry Cleaners & Other",Other,Service,M33 3ND,Sale,53.41761,-2.32009,3/7/2017,,Sale,Open,Open,Open,22/7/2020,24/7/2020
52885971,13338393,Bellissima Beauty Salon,Independent,Beauty Salons,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 3NE,Sale,53.4177,-2.32009,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
52885977,13338399,Cafeccino's,Independent,Cafe & Tearoom,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 3ND,Sale,53.41761,-2.32089,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
52885998,13338422,A & B Cann,Independent,Cosmetic Dentistry,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 3HF,Sale,53.42027,-2.30479,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
50922974,13338433,Top Tier Cakes,Independent,"Cake Makers, Decorators & Supplies",Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 3HF,Sale,53.42019,-2.30469,3/7/2017,,Sale,Open,,,23/7/2020,24/7/2020
52886005,13338439,Steele & Co.,Independent,Hairdressers,"Hairdressing, Health & Beauty",Health & beauty,Service,M33 3HF,Sale,53.42026,-2.30476,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
52886011,13338445,Joy's House,Independent,Chinese Fast Food Takeaway,Cafes & Fast Food,"Restaurants, cafes & fast food",Leisure,M33 3HE,Sale,53.41998,-2.30465,3/7/2017,,Sale,Open,,Open,22/7/2020,24/7/2020
